urn:cite:chron:j-alexandrians_ruler1	Ptolemy son of Lagus
urn:cite:chron:j-alexandrians_ruler2	Ptolemy Philadelphus
urn:cite:chron:j-alexandrians_ruler3	Ptolemy Euergetes
urn:cite:chron:j-alexandrians_ruler4	Ptolemy Philopator
urn:cite:chron:j-alexandrians_ruler5	Ptolemy Epiphanes
urn:cite:chron:j-alexandrians_ruler6	Ptolemy Philopator
urn:cite:chron:j-alexandrians_ruler7	Ptolemy VII (Euergetes 2)
urn:cite:chron:j-alexandrians_ruler8	Ptolemy Physcon
urn:cite:chron:j-alexandrians_ruler9	Ptolemy IX (Alexander)
urn:cite:chron:j-alexandrians_ruler10	Ptolemy X
urn:cite:chron:j-alexandrians_ruler11	Ptolemy New Dionysus
urn:cite:chron:j-alexandrians_ruler12	Cleopatra
urn:cite:chron:j-argives_ruler1	Inachus
urn:cite:chron:j-argives_ruler2	Phoroneus
urn:cite:chron:j-argives_ruler3	Apis
urn:cite:chron:j-argives_ruler4	Argus
urn:cite:chron:j-argives_ruler5	Criassus
urn:cite:chron:j-argives_ruler6	Phorbas
urn:cite:chron:j-argives_ruler7	Triopas
urn:cite:chron:j-argives_ruler8	Crotopus
urn:cite:chron:j-argives_ruler9	Sthenelus
urn:cite:chron:j-argives_ruler10	Danaus
urn:cite:chron:j-argives_ruler11	Lynceus
urn:cite:chron:j-argives_ruler12	Abas
urn:cite:chron:j-argives_ruler13	Proetus
urn:cite:chron:j-argives_ruler14	Acrisius
urn:cite:chron:j-assyrians_ruler1	Ninus
urn:cite:chron:j-assyrians_ruler2	Semiramis
urn:cite:chron:j-assyrians_ruler3	Zameis
urn:cite:chron:j-assyrians_ruler4	Arius
urn:cite:chron:j-assyrians_ruler5	Aralius
urn:cite:chron:j-assyrians_ruler6	Xerxes (Balaneus)
urn:cite:chron:j-assyrians_ruler7	Armamitres
urn:cite:chron:j-assyrians_ruler8	Belocus
urn:cite:chron:j-assyrians_ruler9	Baleus
urn:cite:chron:j-assyrians_ruler10	Altadas
urn:cite:chron:j-assyrians_ruler11	Mamythus
urn:cite:chron:j-assyrians_ruler12	Machaleus
urn:cite:chron:j-assyrians_ruler13	Sphaerus
urn:cite:chron:j-assyrians_ruler14	Mamylus
urn:cite:chron:j-assyrians_ruler15	Sparetus
urn:cite:chron:j-assyrians_ruler16	Ascatrades
urn:cite:chron:j-assyrians_ruler17	Amyntas
urn:cite:chron:j-assyrians_ruler18	Belochus
urn:cite:chron:j-assyrians_ruler19	Bellepares
urn:cite:chron:j-assyrians_ruler20	Lamprides
urn:cite:chron:j-assyrians_ruler21	Sosares
urn:cite:chron:j-assyrians_ruler22	Lampares
urn:cite:chron:j-assyrians_ruler23	Pannyas
urn:cite:chron:j-assyrians_ruler24	Sosarmus
urn:cite:chron:j-assyrians_ruler25	Mithraeus
urn:cite:chron:j-assyrians_ruler26	Tautanes
urn:cite:chron:j-assyrians_ruler27	Tateus
urn:cite:chron:j-assyrians_ruler28	Thinaeus
urn:cite:chron:j-assyrians_ruler29	Dercylus
urn:cite:chron:j-assyrians_ruler30	Eupales
urn:cite:chron:j-assyrians_ruler31	Laosthenes
urn:cite:chron:j-assyrians_ruler32	Piritiades
urn:cite:chron:j-assyrians_ruler33	Ophratheus
urn:cite:chron:j-assyrians_ruler34	Ophratanes
urn:cite:chron:j-assyrians_ruler35	Acrazapes
urn:cite:chron:j-assyrians_ruler36	Sardanapalus
urn:cite:chron:j-athenians_ruler1	Cecrops
urn:cite:chron:j-athenians_ruler2	Cranaus
urn:cite:chron:j-athenians_ruler3	Amphictyon
urn:cite:chron:j-athenians_ruler4	Erichthonius
urn:cite:chron:j-athenians_ruler5	Pandion
urn:cite:chron:j-athenians_ruler6	Ericthius
urn:cite:chron:j-athenians_ruler7	Cecrops II
urn:cite:chron:j-athenians_ruler8	Pandion
urn:cite:chron:j-athenians_ruler9	Aegeus
urn:cite:chron:j-athenians_ruler10	Theseus
urn:cite:chron:j-athenians_ruler11	Menestheus
urn:cite:chron:j-athenians_ruler12	Demophoon
urn:cite:chron:j-athenians_ruler13	Oxyntes
urn:cite:chron:j-athenians_ruler14	Aphydas
urn:cite:chron:j-athenians_ruler15	Thymoetes
urn:cite:chron:j-athenians_ruler16	Melanthus
urn:cite:chron:j-athenians_ruler17	Codrus
urn:cite:chron:j-athenians_ruler18	Medon
urn:cite:chron:j-athenians_ruler19	Acastus
urn:cite:chron:j-athenians_ruler20	Archippus
urn:cite:chron:j-athenians_ruler21	Thersippus
urn:cite:chron:j-athenians_ruler22	Phorbas
urn:cite:chron:j-athenians_ruler23	Megacles
urn:cite:chron:j-athenians_ruler24	Diognetus
urn:cite:chron:j-athenians_ruler25	Phereclus
urn:cite:chron:j-athenians_ruler26	Ariphron
urn:cite:chron:j-athenians_ruler27	Thespieus
urn:cite:chron:j-athenians_ruler28	Agamestor
urn:cite:chron:j-athenians_ruler29	Aeschylus
urn:cite:chron:j-athenians_ruler30	Alcmaeon
urn:cite:chron:j-athenians_ruler31	Charops
urn:cite:chron:j-athenians_ruler32	Aesimedes
urn:cite:chron:j-athenians_ruler33	Clidicus
urn:cite:chron:j-athenians_ruler34	Hippomenes
urn:cite:chron:j-athenians_ruler35	Leocrates
urn:cite:chron:j-athenians_ruler36	Apsander
urn:cite:chron:j-athenians_ruler37	Eryxias
urn:cite:chron:j-corinthians_ruler1	Alethis
urn:cite:chron:j-corinthians_ruler2	Ixion
urn:cite:chron:j-corinthians_ruler3	Agelaus
urn:cite:chron:j-corinthians_ruler4	Pryminas
urn:cite:chron:j-corinthians_ruler5	Bacchis
urn:cite:chron:j-corinthians_ruler6	Agelas
urn:cite:chron:j-corinthians_ruler7	Eudemus
urn:cite:chron:j-corinthians_ruler8	Aristomedes
urn:cite:chron:j-corinthians_ruler9	Agemon
urn:cite:chron:j-corinthians_ruler10	Alexander
urn:cite:chron:j-corinthians_ruler11	Telestes
urn:cite:chron:j-corinthians_ruler12	Automenes
urn:cite:chron:j-lacedaemonians_ruler1	Eurystheus
urn:cite:chron:j-lacedaemonians_ruler2	Agis
urn:cite:chron:j-lacedaemonians_ruler3	Echestratus
urn:cite:chron:j-lacedaemonians_ruler4	Labotes
urn:cite:chron:j-lacedaemonians_ruler5	Doristhus
urn:cite:chron:j-lacedaemonians_ruler6	Agesilaus
urn:cite:chron:j-lacedaemonians_ruler7	Archelaus
urn:cite:chron:j-lacedaemonians_ruler8	Teleclus
urn:cite:chron:j-lacedaemonians_ruler9	Alcamenes
urn:cite:chron:j-latins_ruler1	Aeneas
urn:cite:chron:j-latins_ruler2	Ascanius
urn:cite:chron:j-latins_ruler3	Silvius
urn:cite:chron:j-latins_ruler4	Aeneas Silvius
urn:cite:chron:j-latins_ruler5	Latinus Silvius
urn:cite:chron:j-latins_ruler6	Alba Silvius
urn:cite:chron:j-latins_ruler7	Aegyptus Silvius
urn:cite:chron:j-latins_ruler8	Capis Silvius
urn:cite:chron:j-latins_ruler9	Carpentus Silvius
urn:cite:chron:j-latins_ruler10	Tiberinus Silvius
urn:cite:chron:j-latins_ruler11	Agrippa Silvius
urn:cite:chron:j-latins_ruler12	Aremulus Silvius
urn:cite:chron:j-latins_ruler13	Aventinus Silvius
urn:cite:chron:j-latins_ruler14	Procas Silvius
urn:cite:chron:j-latins_ruler15	Amulius Silvius
urn:cite:chron:j-latins_ruler16	Romulus
urn:cite:chron:j-latins_ruler17	Numa Pompilius
urn:cite:chron:j-latins_ruler18	Tullus Hostilius
urn:cite:chron:j-latins_ruler19	Ancus Martius
urn:cite:chron:j-latins_ruler20	Tarquinius Priscus
urn:cite:chron:j-latins_ruler21	Servius
urn:cite:chron:j-latins_ruler22	Tarquinius
urn:cite:chron:j-lydians_ruler1	Ardisius
urn:cite:chron:j-lydians_ruler2	Alyattes
urn:cite:chron:j-lydians_ruler3	Meles
urn:cite:chron:j-lydians_ruler4	Candaules
urn:cite:chron:j-lydians_ruler5	Gyges
urn:cite:chron:j-lydians_ruler6	Ardys
urn:cite:chron:j-lydians_ruler7	Sadyattes
urn:cite:chron:j-lydians_ruler8	Alyattes
urn:cite:chron:j-lydians_ruler9	Croesus
urn:cite:chron:j-macedonians_ruler1	Caranus
urn:cite:chron:j-macedonians_ruler2	Coenus
urn:cite:chron:j-macedonians_ruler3	Tyrimas
urn:cite:chron:j-macedonians_ruler4	Perdiccas
urn:cite:chron:j-macedonians_ruler5	Argaeus
urn:cite:chron:j-macedonians_ruler6	Philip
urn:cite:chron:j-macedonians_ruler7	Europus
urn:cite:chron:j-macedonians_ruler8	Alcetas
urn:cite:chron:j-macedonians_ruler9	Amyntas
urn:cite:chron:j-macedonians_ruler10	Alexander
urn:cite:chron:j-macedonians_ruler11	Perdiccas
urn:cite:chron:j-macedonians_ruler12	Archelaus
urn:cite:chron:j-macedonians_ruler13	Archelaus
urn:cite:chron:j-macedonians_ruler14	Amyntas
urn:cite:chron:j-macedonians_ruler15	Pausanias
urn:cite:chron:j-macedonians_ruler16	Amyntas
urn:cite:chron:j-macedonians_ruler17	Argeus
urn:cite:chron:j-macedonians_ruler18	Amyntas
urn:cite:chron:j-macedonians_ruler19	Alexander
urn:cite:chron:j-macedonians_ruler20	Philip
urn:cite:chron:j-macedonians_ruler21	Alexander
urn:cite:chron:j-macedonians_ruler22	Philip Arrhidaeus
urn:cite:chron:j-macedonians_ruler23	Cassander
urn:cite:chron:j-macedonians_ruler24	Anigonus and Alexander
urn:cite:chron:j-macedonians_ruler25	Lysimachus
urn:cite:chron:j-macedonians_ruler26	Ptolemy the Thunderbolt
urn:cite:chron:j-macedonians_ruler27	Meleager
urn:cite:chron:j-macedonians_ruler28	Antigonus Gonatas
urn:cite:chron:j-macedonians_ruler29	Demetrius
urn:cite:chron:j-macedonians_ruler30	Antigonus
urn:cite:chron:j-macedonians_ruler31	Philip
urn:cite:chron:j-macedonians_ruler32	Perseus
urn:cite:chron:j-medes_ruler1	Arbaces
urn:cite:chron:j-medes_ruler2	Sosarmus
urn:cite:chron:j-medes_ruler3	Medidus
urn:cite:chron:j-medes_ruler4	Cardiceas
urn:cite:chron:j-medes_ruler5	Diocles
urn:cite:chron:j-medes_ruler6	Phraortes
urn:cite:chron:j-medes_ruler7	Cyaxares
urn:cite:chron:j-medes_ruler8	Astyages
urn:cite:chron:j-mycenaeans_ruler1	Eurystheus
urn:cite:chron:j-mycenaeans_ruler2	Atreus and Thyestes
urn:cite:chron:j-mycenaeans_ruler3	Agamemnon
urn:cite:chron:j-persians_ruler1	Cyrus
urn:cite:chron:j-persians_ruler2	Cambyses
urn:cite:chron:j-persians_ruler3	Darius
urn:cite:chron:j-persians_ruler4	Xerxes
urn:cite:chron:j-persians_ruler5	Artaxerxes Longimanus
urn:cite:chron:j-persians_ruler6	Darius Nothus
urn:cite:chron:j-persians_ruler7	Artaxerxes Mnemon
urn:cite:chron:j-persians_ruler8	Artaxerxes Ochus
urn:cite:chron:j-persians_ruler9	Arses
urn:cite:chron:j-persians_ruler10	Darius
urn:cite:chron:j-romans_ruler1	Julius Caesar
urn:cite:chron:j-romans_ruler2	Augustus
urn:cite:chron:j-romans_ruler3	Tiberius
urn:cite:chron:j-romans_ruler4	Caligula
urn:cite:chron:j-romans_ruler5	Claudius
urn:cite:chron:j-romans_ruler6	Nero
urn:cite:chron:j-romans_ruler7	Vespasian
urn:cite:chron:j-romans_ruler8	Titus
urn:cite:chron:j-romans_ruler9	Domitian
urn:cite:chron:j-romans_ruler10	Nerva
urn:cite:chron:j-romans_ruler11	Trajan
urn:cite:chron:j-romans_ruler12	Hadrian
urn:cite:chron:j-romans_ruler13	Antoninus Pius
urn:cite:chron:j-romans_ruler14	Verus and Commodus
urn:cite:chron:j-romans_ruler15	Commodus
urn:cite:chron:j-romans_ruler16	Pertinax
urn:cite:chron:j-romans_ruler17	Septimius Severus
urn:cite:chron:j-romans_ruler18	Caracalla
urn:cite:chron:j-romans_ruler19	Macrinus
urn:cite:chron:j-romans_ruler20	Antoninus
urn:cite:chron:j-romans_ruler21	Alexander
urn:cite:chron:j-romans_ruler22	Maximinus
urn:cite:chron:j-romans_ruler23	Gordian
urn:cite:chron:j-romans_ruler24	Philip the Arab
urn:cite:chron:j-romans_ruler25	Decius
urn:cite:chron:j-romans_ruler26	Gallus and Volusian
urn:cite:chron:j-romans_ruler27	Valerian and Gallienus
urn:cite:chron:j-romans_ruler28	Claudius Gothicus
urn:cite:chron:j-romans_ruler29	Aurelian
urn:cite:chron:j-romans_ruler30	Tacitus
urn:cite:chron:j-romans_ruler31	Probus
urn:cite:chron:j-romans_ruler32	Carus
urn:cite:chron:j-sicyonians_ruler1	Europs
urn:cite:chron:j-sicyonians_ruler2	Telchin
urn:cite:chron:j-sicyonians_ruler3	Apis
urn:cite:chron:j-sicyonians_ruler4	Thelxion
urn:cite:chron:j-sicyonians_ruler5	Aegydrus
urn:cite:chron:j-sicyonians_ruler6	Thurimachus
urn:cite:chron:j-sicyonians_ruler7	Leucippus
urn:cite:chron:j-sicyonians_ruler8	Messapus
urn:cite:chron:j-sicyonians_ruler9	Eratus
urn:cite:chron:j-sicyonians_ruler10	Plemnaeus
urn:cite:chron:j-sicyonians_ruler11	Orthopolis
urn:cite:chron:j-sicyonians_ruler12	Marathius
urn:cite:chron:j-sicyonians_ruler13	Marathus
urn:cite:chron:j-sicyonians_ruler14	Echyreus
urn:cite:chron:j-sicyonians_ruler15	Corax
urn:cite:chron:j-sicyonians_ruler16	Epopeus
urn:cite:chron:j-sicyonians_ruler17	Laomedon
urn:cite:chron:j-sicyonians_ruler18	Sicyon
urn:cite:chron:j-sicyonians_ruler19	Polybus
urn:cite:chron:j-sicyonians_ruler20	Inachus
urn:cite:chron:j-sicyonians_ruler21	Phaestus
urn:cite:chron:j-sicyonians_ruler22	Adrastus
urn:cite:chron:j-sicyonians_ruler23	Polyphides
urn:cite:chron:j-sicyonians_ruler24	(Success to POLYPHIDES?)
urn:cite:chron:j-sicyonians_ruler25	Zeusippus
urn:cite:chron:j-syria-asia_ruler1	Antigonus
urn:cite:chron:j-syria-asia_ruler2	Seleucus Nicanor
urn:cite:chron:j-syria-asia_ruler3	Demetrius Poliorcetes
urn:cite:chron:j-syria-asia_ruler4	Antiochus Soter
urn:cite:chron:j-syria-asia_ruler5	Antiochus Theos
urn:cite:chron:j-syria-asia_ruler6	Seleucus Callinicus
urn:cite:chron:j-syria-asia_ruler7	Selecus the Thunderbolt
urn:cite:chron:j-syria-asia_ruler8	Antiochus the Great
urn:cite:chron:j-syria-asia_ruler9	Seleucus Philopator
urn:cite:chron:j-syria-asia_ruler10	Antiochus Eupator
urn:cite:chron:j-syria-asia_ruler11	Demetrius Soter
urn:cite:chron:j-syria-asia_ruler12	Alexander
urn:cite:chron:j-syria-asia_ruler13	Demetrius
urn:cite:chron:j-syria-asia_ruler14	Antiochus Sidetes
urn:cite:chron:j-syria-asia_ruler15	Demetrius (again)
urn:cite:chron:j-syria-asia_ruler16	Antiochus Grypus
urn:cite:chron:j-syria-asia_ruler17	Antiochus of Cyzicus
urn:cite:chron:j-syria-asia_ruler18	Philip
